record_id,schema_version,data_version,revision,system,manufacturer,family,model,conductor_material,insulation,voltage_class_v,cores,csa_mm2,outside_diameter_mm,od_basis,conductor_temp_c,intended_use,verification_status,source_id,effective_from,effective_to,notes
CAB-PD-CVFD-2C-025,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 25 mm2,,,,2,25,21,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-2C-035,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 35 mm2,,,,2,35,23,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-2C-050,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 50 mm2,,,,2,50,25,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-2C-070,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 70 mm2,,,,2,70,30,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-2C-095,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 95 mm2,,,,2,95,33,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-2C-120,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 120 mm2,,,,2,120,37,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-2C-150,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 150 mm2,,,,2,150,41,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-2C-185,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 185 mm2,,,,2,185,45,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-2C-240,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 240 mm2,,,,2,240,51,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-2C-300,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 300 mm2,,,,2,300,55,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-2C-400,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 400 mm2,,,,2,400,62,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-010,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 10 mm2,,,,3,10,16,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-016,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 16 mm2,,,,3,16,18,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-025,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 25 mm2,,,,3,25,22,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-035,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 35 mm2,,,,3,35,24,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-050,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 50 mm2,,,,3,50,27,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-070,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 70 mm2,,,,3,70,32,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-095,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 95 mm2,,,,3,95,36,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-120,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 120 mm2,,,,3,120,39,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-150,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 150 mm2,,,,3,150,43,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-185,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 185 mm2,,,,3,185,48,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-240,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 240 mm2,,,,3,240,54,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-300,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 300 mm2,,,,3,300,59,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-3C-400,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-3C 400 mm2,,,,3,400,66,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-010,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 10 mm2,,,,4,10,18,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-016,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 16 mm2,,,,4,16,20,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-025,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 25 mm2,,,,4,25,24,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-035,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 35 mm2,,,,4,35,27,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-050,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 50 mm2,,,,4,50,30,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-070,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 70 mm2,,,,4,70,35,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-095,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 95 mm2,,,,4,95,39,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-120,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 120 mm2,,,,4,120,43,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-150,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 150 mm2,,,,4,150,48,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-185,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 185 mm2,,,,4,185,53,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-240,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 240 mm2,,,,4,240,60,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-300,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 300 mm2,,,,4,300,66,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-4C-400,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-4C 400 mm2,,,,4,400,74,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-THW-GND-1C-240,1.0.0,2026.08-draft,2,GROUND,Phelps Dodge,THW,AC Cable THW G 240 mm2,CU,PVC/C,750,1,240,26.6,MANUFACTURER_MAXIMUM,70,PE or grounding conductor,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Published maximum OD; confirm delivered product and dry-raceway applicability
CAB-THW-GND-1C-185,1.0.0,2026.08-draft,2,GROUND,Phelps Dodge,THW,AC Cable THW G 185 mm2,CU,PVC/C,750,1,185,23.3,MANUFACTURER_MAXIMUM,70,PE or grounding conductor,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Published maximum OD; confirm delivered product and dry-raceway applicability
CAB-THW-GND-1C-120,1.0.0,2026.08-draft,2,GROUND,Phelps Dodge,THW,AC Cable THW G 120 mm2,CU,PVC/C,750,1,120,18.8,MANUFACTURER_MAXIMUM,70,PE or grounding conductor,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Published maximum OD; confirm delivered product and dry-raceway applicability
CAB-THW-GND-1C-095,1.0.0,2026.08-draft,2,GROUND,Phelps Dodge,THW,AC Cable THW G 95 mm2,CU,PVC/C,750,1,95,17.1,MANUFACTURER_MAXIMUM,70,PE or grounding conductor,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Published maximum OD; confirm delivered product and dry-raceway applicability
CAB-THW-GND-1C-070,1.0.0,2026.08-draft,2,GROUND,Phelps Dodge,THW,AC Cable THW G 70 mm2,CU,PVC/C,750,1,70,14.6,MANUFACTURER_MAXIMUM,70,PE or grounding conductor,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Published maximum OD; confirm delivered product and dry-raceway applicability
CAB-THW-GND-1C-050,1.0.0,2026.08-draft,2,GROUND,Phelps Dodge,THW,AC Cable THW G 50 mm2,CU,PVC/C,750,1,50,12.8,MANUFACTURER_MAXIMUM,70,PE or grounding conductor,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Published maximum OD; confirm delivered product and dry-raceway applicability
CAB-THW-GND-1C-035,1.0.0,2026.08-draft,2,GROUND,Phelps Dodge,THW,AC Cable THW G 35 mm2,CU,PVC/C,750,1,35,10.9,MANUFACTURER_MAXIMUM,70,PE or grounding conductor,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Published maximum OD; confirm delivered product and dry-raceway applicability
CAB-THW-GND-1C-025,1.0.0,2026.08-draft,2,GROUND,Phelps Dodge,THW,AC Cable THW G 25 mm2,CU,PVC/C,750,1,25,9.7,MANUFACTURER_MAXIMUM,70,PE or grounding conductor,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Published maximum OD; confirm delivered product and dry-raceway applicability
CAB-THW-GND-1C-016,1.0.0,2026.08-draft,2,GROUND,Phelps Dodge,THW,AC Cable THW G 16 mm2,CU,PVC/C,750,1,16,7.8,MANUFACTURER_MAXIMUM,70,PE or grounding conductor,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Published maximum OD; confirm delivered product and dry-raceway applicability
CAB-THW-GND-1C-010,1.0.0,2026.08-draft,2,GROUND,Phelps Dodge,THW,AC Cable THW G 10 mm2,CU,PVC/C,750,1,10,6.7,MANUFACTURER_MAXIMUM,70,PE or grounding conductor,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Published maximum OD; confirm delivered product and dry-raceway applicability
CAB-THW-GND-1C-006,1.0.0,2026.08-draft,2,GROUND,Phelps Dodge,THW,AC Cable THW G 6 mm2,CU,PVC/C,750,1,6,5.2,MANUFACTURER_MAXIMUM,70,PE or grounding conductor,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Published maximum OD; confirm delivered product and dry-raceway applicability
